so,so_date,so_del_date,qty,closed,act_disp_qty,act_disp_date,rate,currency,customer,fgcode_id
17021680,02-08-2018,18-10-2018,210,1,210,,21.11,USD,NWI,371
17021680,02-08-2018,18-10-2018,200,1,200,,16.99,USD,NWI,67
17021680,02-08-2018,18-10-2018,200,1,200,,28.4,USD,NWI,254
17021680,02-08-2018,18-10-2018,210,1,210,,15.88,USD,NWI,275
17021680,02-08-2018,18-10-2018,224,1,224,,21.92,USD,NWI,282
17021681,02-08-2018,03-10-2018,736,1,736,,41.08,USD,NWI,266
17021681,02-08-2018,03-10-2018,960,1,960,,15.53,USD,NWI,271
17021682,06-08-2018,14-09-2018,1550,1,1550,,15.84,USD,"Bolgan, Ukrain",448
17021772,23-07-2018,11-10-2018,216,1,216,,64.05,USD,NWI,331
17021772,23-07-2018,11-10-2018,198,1,198,,65.76,USD,NWI,262
17021772,23-07-2018,11-10-2018,216,1,216,,17.51,USD,NWI,263
17021772,23-07-2018,11-10-2018,233,1,233,,27.91,USD,NWI,264
17021772,23-07-2018,11-10-2018,200,1,200,,17.67,USD,NWI,259
17021772,23-07-2018,11-10-2018,600,1,600,,8.96,USD,NWI,285
17021772,23-07-2018,11-10-2018,200,1,200,,28.4,USD,NWI,254
17021773,25-07-2018,11-10-2018,350,1,350,,67.68,USD,Kerala Nature,349
17021774,10-08-2018,30-11-2018,150,1,150,,,USD,Qatar,234
17021774,10-08-2018,30-11-2018,150,1,150,,,USD,Qatar,215
17021774,10-08-2018,30-11-2018,150,1,150,,,USD,Qatar,214
17021823,28-07-2018,23-11-2018,100,1,100,,20.02,USD,LASCO,309
17021823,28-07-2018,23-11-2018,450,1,450,,14.54,USD,LASCO,310
17021823,28-07-2018,23-11-2018,600,1,600,,22.32,USD,LASCO,308
17021823,28-07-2018,23-11-2018,100,1,100,,20.74,USD,LASCO,314
17021823,28-07-2018,23-11-2018,450,1,450,,16.13,USD,LASCO,315
17021823,28-07-2018,23-11-2018,400,1,400,,24.77,USD,LASCO,313
17021823,28-07-2018,23-11-2018,70,1,70,,21.46,USD,LASCO,316
17021823,28-07-2018,23-11-2018,808,1,808,,28.42,USD,LASCO,317
17021823,28-07-2018,23-11-2018,70,1,70,,25.2,USD,LASCO,319
17021823,28-07-2018,23-11-2018,70,1,70,,29.52,USD,LASCO,312
17021823,28-07-2018,23-11-2018,279,1,279,,15.1,USD,LASCO,311
17021824,31-07-2018,19-09-2018,4150,1,4150,,8.45,USD,Delta Int Trade,324
17021825,03-08-2018,10-10-2018,1578,1,1578,,8.45,USD,Delta Int Trade,330
17021825,03-08-2018,10-10-2018,668,1,668,,8.45,USD,Delta Int Trade,324
17021825,03-08-2018,10-10-2018,487,1,487,,8.15,USD,Delta Int Trade,327
17021825,03-08-2018,10-10-2018,413,1,413,,8.15,USD,Delta Int Trade,326
17021826,31-07-2018,11-10-2018,560,1,560,,38.22,USD,NWI,267
17021826,31-07-2018,11-10-2018,432,1,432,,12.57,USD,NWI,270
17021826,31-07-2018,11-10-2018,210,1,210,,21.11,USD,NWI,371
17021826,31-07-2018,11-10-2018,270,1,270,,14.51,USD,NWI,372
17021826,31-07-2018,11-10-2018,200,1,200,,37,USD,NWI,279
17021922,21-08-2018,22-04-2019,1600,1,1600,,9.36,USD,United Exchange Corporation,239
17021922,21-08-2018,21-01-2019,1550,1,1550,,9.36,USD,United Exchange Corporation,294
17021922,21-08-2018,21-01-2019,250,1,250,,0,USD,United Exchange Corporation,299
17021923,21-08-2018,17-10-2018,306,1,306,,24.72,USD,Lybar,468
17021923,21-08-2018,17-10-2018,280,1,280,,13.74,USD,Lybar,479
